Unnamed: 0,property,expected_verdict,c_file,c_file_abs,yml_path,folder,strat_key,s123_pass,s123_success_at,s123_tokens,s123_time_sec,s123_code,s123_iter_log,s42_pass,s42_success_at,s42_tokens,s42_time_sec,s42_code,s42_iter_log,s999_pass,s999_success_at,s999_tokens,s999_time_sec,s999_code,s999_iter_log,final_prediction,avg_tokens,total_process_time_sec
580,unreach-call,False,c/recursive-simple/id_i10_o10-1.c,/workspace/sv-benchmarks/c/recursive-simple/id_i10_o10-1.c,c/recursive-simple/id_i10_o10-1.yml,recursive-simple,unreach-call_False_recursive-simple,False,-1,11542,112.08,,"[{""it"": 1, ""extracted"": true, ""pass"": false, ""complete"": false, ""n_errors"": 4, ""n_sorries"": 0, ""verify_time_sec"": 3.64}, {""it"": 2, ""extracted"": true, ""pass"": false, ""complete"": false, ""n_errors"": 3, ""n_sorries"": 0, ""verify_time_sec"": 3.63}, {""it"": 3, ""extracted"": true, ""pass"": false, ""complete"": false, ""n_errors"": 3, ""n_sorries"": 0, ""verify_time_sec"": 3.66}, {""it"": 4, ""extracted"": true, ""pass"": false, ""complete"": false, ""n_errors"": 3, ""n_sorries"": 0, ""verify_time_sec"": 3.66}, {""it"": 5, ""extracted"": true, ""pass"": false, ""complete"": false, ""n_errors"": 3, ""n_sorries"": 0, ""verify_time_sec"": 3.61}]",False,-1,12418,113.56,,"[{""it"": 1, ""extracted"": true, ""pass"": false, ""complete"": false, ""n_errors"": 9, ""n_sorries"": 0, ""verify_time_sec"": 3.49}, {""it"": 2, ""extracted"": true, ""pass"": false, ""complete"": false, ""n_errors"": 5, ""n_sorries"": 0, ""verify_time_sec"": 3.64}, {""it"": 3, ""extracted"": true, ""pass"": false, ""complete"": false, ""n_errors"": 4, ""n_sorries"": 0, ""verify_time_sec"": 3.67}, {""it"": 4, ""extracted"": true, ""pass"": false, ""complete"": false, ""n_errors"": 4, ""n_sorries"": 0, ""verify_time_sec"": 3.64}, {""it"": 5, ""extracted"": true, ""pass"": false, ""complete"": false, ""n_errors"": 4, ""n_sorries"": 0, ""verify_time_sec"": 3.63}]",False,-1,15644,145.34,,"[{""it"": 1, ""extracted"": true, ""pass"": false, ""complete"": false, ""n_errors"": 7, ""n_sorries"": 0, ""verify_time_sec"": 1.17}, {""it"": 2, ""extracted"": true, ""pass"": false, ""complete"": false, ""n_errors"": 3, ""n_sorries"": 0, ""verify_time_sec"": 1.11}, {""it"": 3, ""extracted"": true, ""pass"": false, ""complete"": false, ""n_errors"": 3, ""n_sorries"": 0, ""verify_time_sec"": 1.15}, {""it"": 4, ""extracted"": true, ""pass"": false, ""complete"": false, ""n_errors"": 3, ""n_sorries"": 0, ""verify_time_sec"": 1.15}, {""it"": 5, ""extracted"": true, ""pass"": false, ""complete"": false, ""n_errors"": 3, ""n_sorries"": 0, ""verify_time_sec"": 1.17}]",0,13201.3,145.34
149,no-overflow,False,c/termination-numeric/Et1_true.c,/workspace/sv-benchmarks/c/termination-numeric/Et1_true.c,c/termination-numeric/Et1_true.yml,termination-numeric,no-overflow_False_termination-numeric,False,-1,18602,130.03,,"[{""it"": 1, ""extracted"": true, ""pass"": false, ""complete"": false, ""n_errors"": 9, ""n_sorries"": 0, ""verify_time_sec"": 0.77}, {""it"": 2, ""extracted"": true, ""pass"": false, ""complete"": false, ""n_errors"": 9, ""n_sorries"": 0, ""verify_time_sec"": 0.74}, {""it"": 3, ""extracted"": true, ""pass"": false, ""complete"": false, ""n_errors"": 11, ""n_sorries"": 0, ""verify_time_sec"": 0.79}, {""it"": 4, ""extracted"": true, ""pass"": false, ""complete"": false, ""n_errors"": 11, ""n_sorries"": 0, ""verify_time_sec"": 0.74}, {""it"": 5, ""extracted"": true, ""pass"": false, ""complete"": false, ""n_errors"": 11, ""n_sorries"": 0, ""verify_time_sec"": 0.76}]",False,-1,19158,170.09,,"[{""it"": 1, ""extracted"": true, ""pass"": false, ""complete"": false, ""n_errors"": 5, ""n_sorries"": 2, ""verify_time_sec"": 1.14}, {""it"": 2, ""extracted"": true, ""pass"": false, ""complete"": false, ""n_errors"": 10, ""n_sorries"": 0, ""verify_time_sec"": 0.75}, {""it"": 3, ""extracted"": true, ""pass"": false, ""complete"": false, ""n_errors"": 10, ""n_sorries"": 0, ""verify_time_sec"": 0.72}, {""it"": 4, ""extracted"": true, ""pass"": false, ""complete"": false, ""n_errors"": 10, ""n_sorries"": 0, ""verify_time_sec"": 0.77}, {""it"": 5, ""extracted"": true, ""pass"": false, ""complete"": false, ""n_errors"": 10, ""n_sorries"": 0, ""verify_time_sec"": 0.71}]",False,-1,18783,150.42,,"[{""it"": 1, ""extracted"": true, ""pass"": false, ""complete"": false, ""n_errors"": 9, ""n_sorries"": 0, ""verify_time_sec"": 1.59}, {""it"": 2, ""extracted"": true, ""pass"": false, ""complete"": false, ""n_errors"": 5, ""n_sorries"": 0, ""verify_time_sec"": 1.35}, {""it"": 3, ""extracted"": true, ""pass"": false, ""complete"": false, ""n_errors"": 7, ""n_sorries"": 0, ""verify_time_sec"": 1.57}, {""it"": 4, ""extracted"": true, ""pass"": false, ""complete"": false, ""n_errors"": 4, ""n_sorries"": 0, ""verify_time_sec"": 1.63}, {""it"": 5, ""extracted"": true, ""pass"": false, ""complete"": false, ""n_errors"": 4, ""n_sorries"": 0, ""verify_time_sec"": 1.62}]",0,18847.7,170.1
96,no-overflow,True,c/recursive-simple/afterrec-2.c,/workspace/sv-benchmarks/c/recursive-simple/afterrec-2.c,c/recursive-simple/afterrec-2.yml,recursive-simple,no-overflow_True_recursive-simple,True,3,5144,62.12,"import Mathlib

-- Define the function `f` as described in the C code.
def f : Nat → IO Unit
| n => if n < 3 then pure () else f (n - 1)

-- Define the main function which calls `f(2)`.
def main : List String → IO UInt32 := fun _ =>
  do
    f 2
    pure 0

-- Prove that `f` does not cause an overflow when called with `n = 2`.
theorem f_does_not_overflow :
  ∀ n : Nat, n ≤ 2 → f n = pure ()
| 0, h => by simp [f]
| 1, h => by simp [f]
| 2, h => by simp [f]

-- Since `main` calls `f(2)`, we can conclude that there is no overflow.
theorem main_does_not_overflow :
  ∀ args : List String, main args = pure 0 :=
by intro args; simp [main, f_does_not_overflow]

#eval main [] -- This should evaluate to `pure 0` without any errors.","[{""it"": 1, ""extracted"": true, ""pass"": false, ""complete"": false, ""n_errors"": 5, ""n_sorries"": 0, ""verify_time_sec"": 3.64}, {""it"": 2, ""extracted"": true, ""pass"": false, ""complete"": false, ""n_errors"": 3, ""n_sorries"": 0, ""verify_time_sec"": 3.89}, {""it"": 3, ""extracted"": true, ""pass"": true, ""complete"": true, ""n_errors"": 0, ""n_sorries"": 0, ""verify_time_sec"": 4.01}]",False,-1,20972,226.0,,"[{""it"": 1, ""extracted"": true, ""pass"": false, ""complete"": false, ""n_errors"": 1, ""n_sorries"": 0, ""verify_time_sec"": 3.91}, {""it"": 2, ""extracted"": true, ""pass"": false, ""complete"": false, ""n_errors"": 4, ""n_sorries"": 0, ""verify_time_sec"": 3.94}, {""it"": 3, ""extracted"": true, ""pass"": false, ""complete"": false, ""n_errors"": 3, ""n_sorries"": 0, ""verify_time_sec"": 3.89}, {""it"": 4, ""extracted"": true, ""pass"": false, ""complete"": false, ""n_errors"": 1, ""n_sorries"": 0, ""verify_time_sec"": 4.13}, {""it"": 5, ""extracted"": true, ""pass"": false, ""complete"": false, ""n_errors"": 1, ""n_sorries"": 0, ""verify_time_sec"": 3.98}]",False,-1,10884,107.12,,"[{""it"": 1, ""extracted"": true, ""pass"": false, ""complete"": false, ""n_errors"": 4, ""n_sorries"": 0, ""verify_time_sec"": 3.82}, {""it"": 2, ""extracted"": true, ""pass"": false, ""complete"": false, ""n_errors"": 2, ""n_sorries"": 0, ""verify_time_sec"": 3.7}, {""it"": 3, ""extracted"": true, ""pass"": false, ""complete"": false, ""n_errors"": 4, ""n_sorries"": 0, ""verify_time_sec"": 3.86}, {""it"": 4, ""extracted"": true, ""pass"": false, ""complete"": false, ""n_errors"": 2, ""n_sorries"": 0, ""verify_time_sec"": 3.79}, {""it"": 5, ""extracted"": true, ""pass"": false, ""complete"": false, ""n_errors"": 2, ""n_sorries"": 0, ""verify_time_sec"": 3.62}]",0,12333.3,226.0
334,termination,False,c/termination-nla/dijkstra2-both-nt.c,/workspace/sv-benchmarks/c/termination-nla/dijkstra2-both-nt.c,c/termination-nla/dijkstra2-both-nt.yml,termination-nla,termination_False_termination-nla,False,-1,30493,304.83,,"[{""it"": 1, ""extracted"": false, ""pass"": false, ""complete"": false, ""n_errors"": 0, ""n_sorries"": 0, ""verify_time_sec"": 0.0}, {""it"": 2, ""extracted"": true, ""pass"": false, ""complete"": false, ""n_errors"": 12, ""n_sorries"": 0, ""verify_time_sec"": 0.76}, {""it"": 3, ""extracted"": true, ""pass"": false, ""complete"": false, ""n_errors"": 12, ""n_sorries"": 0, ""verify_time_sec"": 0.73}, {""it"": 4, ""extracted"": true, ""pass"": false, ""complete"": false, ""n_errors"": 12, ""n_sorries"": 0, ""verify_time_sec"": 0.78}, {""it"": 5, ""extracted"": true, ""pass"": false, ""complete"": false, ""n_errors"": 12, ""n_sorries"": 0, ""verify_time_sec"": 0.79}]",False,-1,19755,120.95,,"[{""it"": 1, ""extracted"": true, ""pass"": false, ""complete"": false, ""n_errors"": 1, ""n_sorries"": 0, ""verify_time_sec"": 3.55}, {""it"": 2, ""extracted"": true, ""pass"": false, ""complete"": false, ""n_errors"": 2, ""n_sorries"": 0, ""verify_time_sec"": 5.57}, {""it"": 3, ""extracted"": true, ""pass"": false, ""complete"": false, ""n_errors"": 3, ""n_sorries"": 0, ""verify_time_sec"": 4.93}, {""it"": 4, ""extracted"": true, ""pass"": false, ""complete"": false, ""n_errors"": 2, ""n_sorries"": 0, ""verify_time_sec"": 3.68}, {""it"": 5, ""extracted"": true, ""pass"": false, ""complete"": false, ""n_errors"": 1, ""n_sorries"": 0, ""verify_time_sec"": 3.69}]",False,-1,24420,172.55,,"[{""it"": 1, ""extracted"": true, ""pass"": false, ""complete"": false, ""n_errors"": 5, ""n_sorries"": 0, ""verify_time_sec"": 3.54}, {""it"": 2, ""extracted"": true, ""pass"": false, ""complete"": false, ""n_errors"": 6, ""n_sorries"": 0, ""verify_time_sec"": 3.58}, {""it"": 3, ""extracted"": true, ""pass"": false, ""complete"": false, ""n_errors"": 7, ""n_sorries"": 0, ""verify_time_sec"": 4.57}, {""it"": 4, ""extracted"": true, ""pass"": false, ""complete"": false, ""n_errors"": 7, ""n_sorries"": 0, ""verify_time_sec"": 3.64}, {""it"": 5, ""extracted"": true, ""pass"": false, ""complete"": false, ""n_errors"": 7, ""n_sorries"": 0, ""verify_time_sec"": 3.65}]",0,24889.3,304.84
250,termination,True,c/termination-crafted/Thun-2.c,/workspace/sv-benchmarks/c/termination-crafted/Thun-2.c,c/termination-crafted/Thun-2.yml,termination-crafted,termination_True_termination-crafted,False,-1,35445,362.0,,"[{""it"": 1, ""extracted"": true, ""pass"": false, ""complete"": false, ""n_errors"": 8, ""n_sorries"": 0, ""verify_time_sec"": 1.36}, {""it"": 2, ""extracted"": true, ""pass"": false, ""complete"": false, ""n_errors"": 8, ""n_sorries"": 0, ""verify_time_sec"": 1.44}, {""it"": 3, ""extracted"": true, ""pass"": false, ""complete"": false, ""n_errors"": 8, ""n_sorries"": 0, ""verify_time_sec"": 1.41}, {""it"": 4, ""extracted"": true, ""pass"": false, ""complete"": false, ""n_errors"": 8, ""n_sorries"": 0, ""verify_time_sec"": 1.41}, {""it"": 5, ""extracted"": true, ""pass"": false, ""complete"": false, ""n_errors"": 2, ""n_sorries"": 0, ""verify_time_sec"": 1.46}]",False,-1,25125,230.16,,"[{""it"": 1, ""extracted"": true, ""pass"": false, ""complete"": false, ""n_errors"": 6, ""n_sorries"": 0, ""verify_time_sec"": 3.62}, {""it"": 2, ""extracted"": true, ""pass"": false, ""complete"": false, ""n_errors"": 4, ""n_sorries"": 0, ""verify_time_sec"": 3.63}, {""it"": 3, ""extracted"": true, ""pass"": false, ""complete"": false, ""n_errors"": 4, ""n_sorries"": 0, ""verify_time_sec"": 3.66}, {""it"": 4, ""extracted"": true, ""pass"": false, ""complete"": false, ""n_errors"": 4, ""n_sorries"": 0, ""verify_time_sec"": 3.66}, {""it"": 5, ""extracted"": true, ""pass"": false, ""complete"": false, ""n_errors"": 4, ""n_sorries"": 0, ""verify_time_sec"": 3.6}]",False,-1,24394,232.89,,"[{""it"": 1, ""extracted"": true, ""pass"": false, ""complete"": false, ""n_errors"": 4, ""n_sorries"": 0, ""verify_time_sec"": 3.69}, {""it"": 2, ""extracted"": true, ""pass"": false, ""complete"": false, ""n_errors"": 6, ""n_sorries"": 0, ""verify_time_sec"": 3.64}, {""it"": 3, ""extracted"": true, ""pass"": false, ""complete"": false, ""n_errors"": 4, ""n_sorries"": 0, ""verify_time_sec"": 3.61}, {""it"": 4, ""extracted"": true, ""pass"": false, ""complete"": false, ""n_errors"": 3, ""n_sorries"": 0, ""verify_time_sec"": 3.68}, {""it"": 5, ""extracted"": true, ""pass"": false, ""complete"": false, ""n_errors"": 3, ""n_sorries"": 0, ""verify_time_sec"": 3.72}]",0,28321.3,362.0
600,valid-memsafety,True,c/loops-crafted-1/net_reset.c,/workspace/sv-benchmarks/c/loops-crafted-1/net_reset.c,c/loops-crafted-1/net_reset.yml,loops-crafted-1,valid-memsafety_True_loops-crafted-1,False,-1,43692,370.87,,"[{""it"": 1, ""extracted"": true, ""pass"": false, ""complete"": false, ""n_errors"": 7, ""n_sorries"": 0, ""verify_time_sec"": 3.81}, {""it"": 2, ""extracted"": true, ""pass"": false, ""complete"": false, ""n_errors"": 6, ""n_sorries"": 0, ""verify_time_sec"": 3.85}, {""it"": 3, ""extracted"": true, ""pass"": false, ""complete"": false, ""n_errors"": 6, ""n_sorries"": 0, ""verify_time_sec"": 3.86}, {""it"": 4, ""extracted"": true, ""pass"": false, ""complete"": false, ""n_errors"": 6, ""n_sorries"": 0, ""verify_time_sec"": 3.89}, {""it"": 5, ""extracted"": true, ""pass"": false, ""complete"": false, ""n_errors"": 5, ""n_sorries"": 0, ""verify_time_sec"": 3.95}]",False,-1,35084,234.75,,"[{""it"": 1, ""extracted"": false, ""pass"": false, ""complete"": false, ""n_errors"": 0, ""n_sorries"": 0, ""verify_time_sec"": 0.0}, {""it"": 2, ""extracted"": true, ""pass"": false, ""complete"": false, ""n_errors"": 21, ""n_sorries"": 0, ""verify_time_sec"": 0.69}, {""it"": 3, ""extracted"": true, ""pass"": false, ""complete"": false, ""n_errors"": 21, ""n_sorries"": 0, ""verify_time_sec"": 0.73}, {""it"": 4, ""extracted"": true, ""pass"": false, ""complete"": false, ""n_errors"": 21, ""n_sorries"": 0, ""verify_time_sec"": 0.73}, {""it"": 5, ""extracted"": true, ""pass"": false, ""complete"": false, ""n_errors"": 21, ""n_sorries"": 0, ""verify_time_sec"": 0.7}]",False,-1,27934,173.33,,"[{""it"": 1, ""extracted"": false, ""pass"": false, ""complete"": false, ""n_errors"": 0, ""n_sorries"": 0, ""verify_time_sec"": 0.0}, {""it"": 2, ""extracted"": true, ""pass"": false, ""complete"": false, ""n_errors"": 18, ""n_sorries"": 0, ""verify_time_sec"": 3.82}, {""it"": 3, ""extracted"": true, ""pass"": false, ""complete"": false, ""n_errors"": 18, ""n_sorries"": 0, ""verify_time_sec"": 3.65}, {""it"": 4, ""extracted"": true, ""pass"": false, ""complete"": false, ""n_errors"": 18, ""n_sorries"": 0, ""verify_time_sec"": 3.79}, {""it"": 5, ""extracted"": true, ""pass"": false, ""complete"": false, ""n_errors"": 18, ""n_sorries"": 0, ""verify_time_sec"": 3.75}]",0,35570.0,370.87
480,unreach-call,True,c/recursive-simple/id_b5_o10-2.c,/workspace/sv-benchmarks/c/recursive-simple/id_b5_o10-2.c,c/recursive-simple/id_b5_o10-2.yml,recursive-simple,unreach-call_True_recursive-simple,False,-1,17377,179.58,,"[{""it"": 1, ""extracted"": true, ""pass"": false, ""complete"": false, ""n_errors"": 4, ""n_sorries"": 0, ""verify_time_sec"": 3.77}, {""it"": 2, ""extracted"": true, ""pass"": false, ""complete"": false, ""n_errors"": 2, ""n_sorries"": 0, ""verify_time_sec"": 3.81}, {""it"": 3, ""extracted"": true, ""pass"": false, ""complete"": false, ""n_errors"": 5, ""n_sorries"": 0, ""verify_time_sec"": 3.7}, {""it"": 4, ""extracted"": true, ""pass"": false, ""complete"": false, ""n_errors"": 5, ""n_sorries"": 0, ""verify_time_sec"": 3.76}, {""it"": 5, ""extracted"": true, ""pass"": false, ""complete"": false, ""n_errors"": 5, ""n_sorries"": 0, ""verify_time_sec"": 3.87}]",False,-1,28217,272.77,,"[{""it"": 1, ""extracted"": true, ""pass"": false, ""complete"": false, ""n_errors"": 3, ""n_sorries"": 0, ""verify_time_sec"": 3.68}, {""it"": 2, ""extracted"": true, ""pass"": false, ""complete"": false, ""n_errors"": 9, ""n_sorries"": 0, ""verify_time_sec"": 3.85}, {""it"": 3, ""extracted"": true, ""pass"": false, ""complete"": false, ""n_errors"": 10, ""n_sorries"": 0, ""verify_time_sec"": 3.88}, {""it"": 4, ""extracted"": true, ""pass"": false, ""complete"": false, ""n_errors"": 10, ""n_sorries"": 0, ""verify_time_sec"": 3.91}, {""it"": 5, ""extracted"": true, ""pass"": false, ""complete"": false, ""n_errors"": 10, ""n_sorries"": 0, ""verify_time_sec"": 3.92}]",False,-1,16205,146.38,,"[{""it"": 1, ""extracted"": true, ""pass"": false, ""complete"": false, ""n_errors"": 8, ""n_sorries"": 0, ""verify_time_sec"": 1.15}, {""it"": 2, ""extracted"": true, ""pass"": false, ""complete"": false, ""n_errors"": 7, ""n_sorries"": 0, ""verify_time_sec"": 1.02}, {""it"": 3, ""extracted"": true, ""pass"": false, ""complete"": false, ""n_errors"": 6, ""n_sorries"": 0, ""verify_time_sec"": 1.13}, {""it"": 4, ""extracted"": true, ""pass"": false, ""complete"": false, ""n_errors"": 4, ""n_sorries"": 0, ""verify_time_sec"": 1.15}, {""it"": 5, ""extracted"": true, ""pass"": false, ""complete"": false, ""n_errors"": 4, ""n_sorries"": 0, ""verify_time_sec"": 1.15}]",0,20599.7,272.77
3,def-behavior,False,c/termination-crafted/Arrays01-EquivalentConstantIndices-2.c,/workspace/sv-benchmarks/c/termination-crafted/Arrays01-EquivalentConstantIndices-2.c,c/termination-crafted/Arrays01-EquivalentConstantIndices-2.yml,termination-crafted,def-behavior_False_termination-crafted,False,-1,19625,177.25,,"[{""it"": 1, ""extracted"": true, ""pass"": false, ""complete"": false, ""n_errors"": 10, ""n_sorries"": 0, ""verify_time_sec"": 0.67}, {""it"": 2, ""extracted"": true, ""pass"": false, ""complete"": false, ""n_errors"": 10, ""n_sorries"": 0, ""verify_time_sec"": 0.67}, {""it"": 3, ""extracted"": true, ""pass"": false, ""complete"": false, ""n_errors"": 10, ""n_sorries"": 0, ""verify_time_sec"": 0.7}, {""it"": 4, ""extracted"": true, ""pass"": false, ""complete"": false, ""n_errors"": 10, ""n_sorries"": 0, ""verify_time_sec"": 0.66}, {""it"": 5, ""extracted"": true, ""pass"": false, ""complete"": false, ""n_errors"": 10, ""n_sorries"": 0, ""verify_time_sec"": 0.67}]",False,-1,18036,194.48,,"[{""it"": 1, ""extracted"": true, ""pass"": false, ""complete"": false, ""n_errors"": 4, ""n_sorries"": 0, ""verify_time_sec"": 3.68}, {""it"": 2, ""extracted"": true, ""pass"": false, ""complete"": false, ""n_errors"": 3, ""n_sorries"": 0, ""verify_time_sec"": 4.26}, {""it"": 3, ""extracted"": true, ""pass"": false, ""complete"": false, ""n_errors"": 2, ""n_sorries"": 0, ""verify_time_sec"": 4.23}, {""it"": 4, ""extracted"": true, ""pass"": false, ""complete"": false, ""n_errors"": 7, ""n_sorries"": 0, ""verify_time_sec"": 4.22}, {""it"": 5, ""extracted"": true, ""pass"": false, ""complete"": false, ""n_errors"": 3, ""n_sorries"": 0, ""verify_time_sec"": 4.27}]",False,-1,18069,147.44,,"[{""it"": 1, ""extracted"": true, ""pass"": false, ""complete"": false, ""n_errors"": 12, ""n_sorries"": 0, ""verify_time_sec"": 0.68}, {""it"": 2, ""extracted"": true, ""pass"": false, ""complete"": false, ""n_errors"": 12, ""n_sorries"": 0, ""verify_time_sec"": 0.69}, {""it"": 3, ""extracted"": true, ""pass"": false, ""complete"": false, ""n_errors"": 12, ""n_sorries"": 0, ""verify_time_sec"": 0.66}, {""it"": 4, ""extracted"": true, ""pass"": false, ""complete"": false, ""n_errors"": 12, ""n_sorries"": 0, ""verify_time_sec"": 0.71}, {""it"": 5, ""extracted"": true, ""pass"": false, ""complete"": false, ""n_errors"": 12, ""n_sorries"": 0, ""verify_time_sec"": 0.72}]",0,18576.7,194.48
450,unreach-call,True,c/loop-acceleration/diamond_1-1.c,/workspace/sv-benchmarks/c/loop-acceleration/diamond_1-1.c,c/loop-acceleration/diamond_1-1.yml,loop-acceleration,unreach-call_True_loop-acceleration,False,-1,44875,455.4,,"[{""it"": 1, ""extracted"": true, ""pass"": false, ""complete"": false, ""n_errors"": 8, ""n_sorries"": 0, ""verify_time_sec"": 3.71}, {""it"": 2, ""extracted"": true, ""pass"": false, ""complete"": false, ""n_errors"": 12, ""n_sorries"": 0, ""verify_time_sec"": 3.95}, {""it"": 3, ""extracted"": true, ""pass"": false, ""complete"": false, ""n_errors"": 12, ""n_sorries"": 0, ""verify_time_sec"": 4.03}, {""it"": 4, ""extracted"": true, ""pass"": false, ""complete"": false, ""n_errors"": 12, ""n_sorries"": 0, ""verify_time_sec"": 3.93}, {""it"": 5, ""extracted"": true, ""pass"": false, ""complete"": false, ""n_errors"": 12, ""n_sorries"": 0, ""verify_time_sec"": 3.95}]",False,-1,24892,246.73,,"[{""it"": 1, ""extracted"": true, ""pass"": false, ""complete"": false, ""n_errors"": 12, ""n_sorries"": 0, ""verify_time_sec"": 0.76}, {""it"": 2, ""extracted"": true, ""pass"": false, ""complete"": false, ""n_errors"": 12, ""n_sorries"": 0, ""verify_time_sec"": 0.78}, {""it"": 3, ""extracted"": true, ""pass"": false, ""complete"": false, ""n_errors"": 12, ""n_sorries"": 0, ""verify_time_sec"": 0.8}, {""it"": 4, ""extracted"": true, ""pass"": false, ""complete"": false, ""n_errors"": 11, ""n_sorries"": 0, ""verify_time_sec"": 0.73}, {""it"": 5, ""extracted"": true, ""pass"": false, ""complete"": false, ""n_errors"": 11, ""n_sorries"": 0, ""verify_time_sec"": 0.78}]",False,-1,15215,176.65,,"[{""it"": 1, ""extracted"": true, ""pass"": false, ""complete"": false, ""n_errors"": 2, ""n_sorries"": 0, ""verify_time_sec"": 4.39}, {""it"": 2, ""extracted"": true, ""pass"": false, ""complete"": false, ""n_errors"": 2, ""n_sorries"": 0, ""verify_time_sec"": 4.38}, {""it"": 3, ""extracted"": true, ""pass"": false, ""complete"": false, ""n_errors"": 2, ""n_sorries"": 0, ""verify_time_sec"": 4.3}, {""it"": 4, ""extracted"": true, ""pass"": false, ""complete"": false, ""n_errors"": 2, ""n_sorries"": 0, ""verify_time_sec"": 4.27}, {""it"": 5, ""extracted"": true, ""pass"": false, ""complete"": false, ""n_errors"": 2, ""n_sorries"": 0, ""verify_time_sec"": 4.38}]",0,28327.3,455.4
519,unreach-call,False,c/loops/nec20.c,/workspace/sv-benchmarks/c/loops/nec20.c,c/loops/nec20.yml,loops,unreach-call_False_loops,False,-1,33111,378.94,,"[{""it"": 1, ""extracted"": true, ""pass"": false, ""complete"": false, ""n_errors"": 9, ""n_sorries"": 0, ""verify_time_sec"": 0.79}, {""it"": 2, ""extracted"": true, ""pass"": false, ""complete"": false, ""n_errors"": 9, ""n_sorries"": 0, ""verify_time_sec"": 0.78}, {""it"": 3, ""extracted"": true, ""pass"": false, ""complete"": false, ""n_errors"": 9, ""n_sorries"": 0, ""verify_time_sec"": 0.78}, {""it"": 4, ""extracted"": true, ""pass"": false, ""complete"": false, ""n_errors"": 9, ""n_sorries"": 0, ""verify_time_sec"": 0.74}, {""it"": 5, ""extracted"": true, ""pass"": false, ""complete"": false, ""n_errors"": 9, ""n_sorries"": 0, ""verify_time_sec"": 0.81}]",False,-1,32280,333.47,,"[{""it"": 1, ""extracted"": true, ""pass"": false, ""complete"": false, ""n_errors"": 7, ""n_sorries"": 0, ""verify_time_sec"": 1.22}, {""it"": 2, ""extracted"": true, ""pass"": false, ""complete"": false, ""n_errors"": 9, ""n_sorries"": 0, ""verify_time_sec"": 0.79}, {""it"": 3, ""extracted"": true, ""pass"": false, ""complete"": false, ""n_errors"": 9, ""n_sorries"": 0, ""verify_time_sec"": 0.78}, {""it"": 4, ""extracted"": true, ""pass"": false, ""complete"": false, ""n_errors"": 9, ""n_sorries"": 0, ""verify_time_sec"": 0.78}, {""it"": 5, ""extracted"": true, ""pass"": false, ""complete"": false, ""n_errors"": 9, ""n_sorries"": 0, ""verify_time_sec"": 0.78}]",False,-1,41137,500.1,,"[{""it"": 1, ""extracted"": true, ""pass"": false, ""complete"": false, ""n_errors"": 10, ""n_sorries"": 0, ""verify_time_sec"": 0.68}, {""it"": 2, ""extracted"": true, ""pass"": false, ""complete"": false, ""n_errors"": 10, ""n_sorries"": 0, ""verify_time_sec"": 0.7}, {""it"": 3, ""extracted"": true, ""pass"": false, ""complete"": false, ""n_errors"": 12, ""n_sorries"": 0, ""verify_time_sec"": 0.69}, {""it"": 4, ""extracted"": true, ""pass"": false, ""complete"": false, ""n_errors"": 12, ""n_sorries"": 0, ""verify_time_sec"": 0.62}, {""it"": 5, ""extracted"": true, ""pass"": false, ""complete"": false, ""n_errors"": 12, ""n_sorries"": 0, ""verify_time_sec"": 0.69}]",0,35509.3,500.11
