property,original_index,s999_pass,s999_complete,s999_errors,s123_pass,s123_complete,s123_errors,s42_pass,s42_complete,s42_errors
no-overflow,0,False,False,"[{""severity"": ""error"", ""pos"": {""line"": 10, ""column"": 2}, ""endPos"": {""line"": 10, ""column"": 7}, ""data"": ""omega could not prove the goal:\na possible counterexample may satisfy the constraints\n  f \u2265 0\n  e \u2265 0\n  e - f \u2265 0\n  c - d \u2265 1\nwhere\n c := a\n d := b\n e := \u2191(sizeOf (b + a - (a + 1)))\n f := \u2191(sizeOf (b - a))""}]",True,True,[],True,True,[]
valid-memsafety,1,False,,no code,False,False,"[{""severity"": ""error"", ""pos"": {""line"": 51, ""column"": 10}, ""endPos"": {""line"": 51, ""column"": 18}, ""data"": ""'sequence' has already been declared""}, {""severity"": ""error"", ""pos"": {""line"": 73, ""column"": 0}, ""endPos"": {""line"": 73, ""column"": 4}, ""data"": ""unexpected identifier; expected command""}]",True,True,[]
unreach-call,2,False,,no code,True,True,[],False,,no code
no-overflow,3,False,False,,False,False,"[{""severity"": ""error"", ""pos"": {""line"": 6, ""column"": 13}, ""endPos"": {""line"": 7, ""column"": 10}, ""data"": ""unexpected token 'set_option'; expected 'else'""}]",False,False,"[{""severity"": ""error"", ""pos"": {""line"": 5, ""column"": 7}, ""endPos"": {""line"": 6, ""column"": 3}, ""data"": ""unexpected token 'def'; expected 'else'""}]"
termination,4,False,,no code,False,,no code,False,,no code
termination,5,False,False,"[{""severity"": ""error"", ""pos"": {""line"": 15, ""column"": 8}, ""endPos"": {""line"": 15, ""column"": 10}, ""data"": ""unexpected token '='; expected ')'""}]",False,False,Theorem is missing a header,False,,no code
unreach-call,6,True,True,[],True,True,[],True,True,[]
unreach-call,7,False,False,"[{""severity"": ""error"", ""pos"": {""line"": 2, ""column"": 4}, ""endPos"": {""line"": 2, ""column"": 6}, ""data"": ""'id' has already been declared""}]",False,False,"[{""severity"": ""error"", ""pos"": {""line"": 4, ""column"": 20}, ""endPos"": {""line"": 5, ""column"": 9}, ""data"": ""unexpected token 'let'; expected 'else'""}]",False,False,"[{""severity"": ""error"", ""pos"": {""line"": 2, ""column"": 11}, ""endPos"": {""line"": 2, ""column"": 13}, ""data"": ""unexpected token '\u2192'; expected ')'""}]"
unreach-call,8,False,,no code,True,True,[],False,,no code
termination,9,True,True,[],True,True,[],True,True,[]
no-overflow,10,True,False,[],True,True,[],True,True,[]
def-behavior,11,False,,no code,False,,no code,False,False,"[{""severity"": ""error"", ""pos"": {""line"": 12, ""column"": 19}, ""endPos"": {""line"": 12, ""column"": 52}, ""data"": ""don't know how to synthesize implicit argument '\u03b1'\n  @Eq ((?m.61 : {main : (?m.7 : Sort ?u.6)} \u2192 Sort ?u.11) \u2192 (?m.7 : Sort ?u.6))\n    (fun (a : (?m.61 : {main : (?m.7 : Sort ?u.6)} \u2192 Sort ?u.11)) => main)\n    fun (a : (?m.61 : {main : (?m.7 : Sort ?u.6)} \u2192 Sort ?u.11)) => main\ncontext:\nmain : (?m.7 : Sort ?u.6)\n\u22a2 Sort (imax ?u.11 ?u.6)\nwhen the resulting type of a declaration is explicitly provided, all holes (e.g., `_`) in the header are resolved before the declaration body is processed""}, {""severity"": ""error"", ""pos"": {""line"": 12, ""column"": 42}, ""endPos"": {""line"": 12, ""column"": 43}, ""data"": ""failed to infer binder type\nwhen the resulting type of a declaration is explicitly provided, all holes (e.g., `_`) in the header are resolved before the declaration body is processed""}, {""severity"": ""error"", ""pos"": {""line"": 12, ""column"": 24}, ""endPos"": {""line"": 12, ""column"": 25}, ""data"": ""failed to infer binder type\nwhen the resulting type of a declaration is explicitly provided, all holes (e.g., `_`) in the header are resolved before the declaration body is processed""}, {""severity"": ""error"", ""pos"": {""line"": 13, ""column"": 25}, ""endPos"": {""line"": 13, ""column"": 63}, ""data"": ""type expected, got\n  ((?m.91 : {main : (?m.87 : Sort ?u.86)} \u2192 Sort ?u.90) : {main : (?m.87 : Sort ?u.86)} \u2192 Sort ?u.90)""}]"
valid-memsafety,12,False,False,"[{""severity"": ""error"", ""pos"": {""line"": 3, ""column"": 4}, ""endPos"": {""line"": 3, ""column"": 8}, ""data"": ""invalid `main` function, it must have type `List String -> IO UInt32`""}]",True,True,[],False,False,"[{""severity"": ""error"", ""pos"": {""line"": 2, ""column"": 37}, ""endPos"": {""line"": 3, ""column"": 7}, ""data"": ""unsolved goals\na\u271d : Unit\n\u22a2 UInt32 \u00d7 Bool""}, {""severity"": ""error"", ""pos"": {""line"": 2, ""column"": 4}, ""endPos"": {""line"": 2, ""column"": 8}, ""data"": ""invalid `main` function, it must have type `List String -> IO UInt32`""}]"
no-overflow,13,False,False,"[{""severity"": ""error"", ""pos"": {""line"": 8, ""column"": 10}, ""endPos"": {""line"": 8, ""column"": 15}, ""data"": ""unexpected token 'from'; expected term""}, {""severity"": ""error"", ""pos"": {""line"": 20, ""column"": 44}, ""endPos"": {""line"": 20, ""column"": 48}, ""data"": ""unexpected token 'from'; expected '_' or identifier""}]",False,False,"[{""severity"": ""error"", ""pos"": {""line"": 5, ""column"": 10}, ""endPos"": {""line"": 5, ""column"": 15}, ""data"": ""unexpected token 'from'; expected term""}, {""severity"": ""error"", ""pos"": {""line"": 21, ""column"": 31}, ""endPos"": {""line"": 21, ""column"": 36}, ""data"": ""unexpected token 'from'; expected ')'""}, {""severity"": ""error"", ""pos"": {""line"": 31, ""column"": 6}, ""endPos"": {""line"": 31, ""column"": 11}, ""data"": ""omega could not prove the goal:\na possible counterexample may satisfy the constraints\n  b \u2265 1\n  a \u2265 1\n  4*a - b \u2264 -1\nwhere\n a := (\u2191(2 : \u2115) : \u2124) ^ n\n b := (\u2191(2 : \u2115) : \u2124) ^ (n + (2 : \u2115))""}]",True,True,[]
def-behavior,14,True,True,[],True,True,[],True,True,[]
no-overflow,15,True,True,[],True,True,[],True,True,[]
valid-memsafety,16,True,True,[],True,True,[],True,True,[]
termination,17,False,False,"[{""severity"": ""error"", ""pos"": {""line"": 10, ""column"": 19}, ""endPos"": {""line"": 11, ""column"": 13}, ""data"": ""unexpected identifier; expected 'else'""}, {""severity"": ""error"", ""pos"": {""line"": 21, ""column"": 19}, ""endPos"": {""line"": 22, ""column"": 13}, ""data"": ""unexpected identifier; expected 'else'""}]",True,True,[],False,,no code
unreach-call,18,True,True,[],True,True,[],False,False,"[{""severity"": ""error"", ""pos"": {""line"": 12, ""column"": 16}, ""endPos"": {""line"": 12, ""column"": 23}, ""data"": ""function expected at\n  fibo\nterm has type\n  (?m.4 : Sort ?u.3)""}]"
termination,19,False,False,,True,True,[],False,False,
no-overflow,20,True,True,[],False,False,"[{""severity"": ""error"", ""pos"": {""line"": 13, ""column"": 9}, ""endPos"": {""line"": 13, ""column"": 10}, ""data"": ""unexpected token '('; expected ':=', 'where' or '|'""}]",True,True,[]
termination,21,True,True,[],True,True,[],False,,no code
termination,22,False,,no code,True,True,[],False,False,"[{""severity"": ""error"", ""pos"": {""line"": 8, ""column"": 5}, ""endPos"": {""line"": 9, ""column"": 14}, ""data"": ""unexpected token 'termination_by'; expected 'else'""}]"
unreach-call,23,False,False,,False,False,,False,,no code
unreach-call,24,True,False,[],False,False,"[{""severity"": ""error"", ""pos"": {""line"": 14, ""column"": 5}, ""endPos"": {""line"": 14, ""column"": 6}, ""data"": ""unexpected token; expected '_' or identifier""}]",True,True,[]
def-behavior,25,True,True,[],True,True,[],True,True,[]
valid-memsafety,26,True,True,[],True,True,[],True,True,[]
unreach-call,27,True,True,[],True,True,[],True,True,[]
unreach-call,28,True,True,[],False,,no code,True,True,[]
no-overflow,29,True,True,[],False,,no code,True,True,[]
unreach-call,30,True,True,[],True,True,[],False,,no code
no-overflow,31,True,True,[],True,True,[],True,True,[]
valid-memsafety,32,False,False,,True,True,[],True,True,[]
def-behavior,33,False,,no code,True,True,[],True,True,[]
termination,34,False,False,Theorem is missing a header,True,True,[],True,True,[]
def-behavior,35,True,True,[],True,True,[],True,True,[]
valid-memsafety,36,True,True,[],True,True,[],True,True,[]
