,property,expected_verdict,c_file,c_file_abs,yml_path,folder,strat_key
672,valid-memsafety,False,c/loops/invert_string-2.c,/workspace/sv-benchmarks/c/loops/invert_string-2.c,c/loops/invert_string-2.yml,loops,valid-memsafety_False_loops
487,unreach-call,True,c/array-tiling/skipped.c,/workspace/sv-benchmarks/c/array-tiling/skipped.c,c/array-tiling/skipped.yml,array-tiling,unreach-call_True_array-tiling
655,valid-memsafety,True,c/recursive-with-pointer/simple-recursive.c,/workspace/sv-benchmarks/c/recursive-with-pointer/simple-recursive.c,c/recursive-with-pointer/simple-recursive.yml,recursive-with-pointer,valid-memsafety_True_recursive-with-pointer
480,unreach-call,True,c/recursive-simple/id_b5_o10-2.c,/workspace/sv-benchmarks/c/recursive-simple/id_b5_o10-2.c,c/recursive-simple/id_b5_o10-2.yml,recursive-simple,unreach-call_True_recursive-simple
369,termination,False,c/loop-acceleration/phases_2-2.c,/workspace/sv-benchmarks/c/loop-acceleration/phases_2-2.c,c/loop-acceleration/phases_2-2.yml,loop-acceleration,termination_False_loop-acceleration
349,termination,False,c/termination-bwb/not-03-false.c,/workspace/sv-benchmarks/c/termination-bwb/not-03-false.c,c/termination-bwb/not-03-false.yml,termination-bwb,termination_False_termination-bwb
176,no-overflow,False,c/recursive/Fibonacci04-overflow.c,/workspace/sv-benchmarks/c/recursive/Fibonacci04-overflow.c,c/recursive/Fibonacci04-overflow.yml,recursive,no-overflow_False_recursive
681,valid-memsafety,False,c/loops/insertion_sort-1.c,/workspace/sv-benchmarks/c/loops/insertion_sort-1.c,c/loops/insertion_sort-1.yml,loops,valid-memsafety_False_loops
85,no-overflow,True,c/loops/n.c40.c,/workspace/sv-benchmarks/c/loops/n.c40.c,c/loops/n.c40.yml,loops,no-overflow_True_loops
1,def-behavior,False,c/termination-crafted/Nyala-2lex-1.c,/workspace/sv-benchmarks/c/termination-crafted/Nyala-2lex-1.c,c/termination-crafted/Nyala-2lex-1.yml,termination-crafted,def-behavior_False_termination-crafted
149,no-overflow,False,c/termination-numeric/Et1_true.c,/workspace/sv-benchmarks/c/termination-numeric/Et1_true.c,c/termination-numeric/Et1_true.yml,termination-numeric,no-overflow_False_termination-numeric
215,termination,True,c/termination-nla/mannadiv-both-t.c,/workspace/sv-benchmarks/c/termination-nla/mannadiv-both-t.c,c/termination-nla/mannadiv-both-t.yml,termination-nla,termination_True_termination-nla
625,valid-memsafety,True,c/termination-crafted/NestedRecursion_2c.c,/workspace/sv-benchmarks/c/termination-crafted/NestedRecursion_2c.c,c/termination-crafted/NestedRecursion_2c.yml,termination-crafted,valid-memsafety_True_termination-crafted
209,termination,True,c/recursive/Fibonacci03.c,/workspace/sv-benchmarks/c/recursive/Fibonacci03.c,c/recursive/Fibonacci03.yml,recursive,termination_True_recursive
320,termination,False,c/termination-restricted-15/NO_23.c,/workspace/sv-benchmarks/c/termination-restricted-15/NO_23.c,c/termination-restricted-15/NO_23.yml,termination-restricted-15,termination_False_termination-restricted-15
3,def-behavior,False,c/termination-crafted/Arrays01-EquivalentConstantIndices-2.c,/workspace/sv-benchmarks/c/termination-crafted/Arrays01-EquivalentConstantIndices-2.c,c/termination-crafted/Arrays01-EquivalentConstantIndices-2.yml,termination-crafted,def-behavior_False_termination-crafted
671,valid-memsafety,False,c/termination-crafted/NonTermination3-1.c,/workspace/sv-benchmarks/c/termination-crafted/NonTermination3-1.c,c/termination-crafted/NonTermination3-1.yml,termination-crafted,valid-memsafety_False_termination-crafted
675,valid-memsafety,False,c/array-fpi/indp1.c,/workspace/sv-benchmarks/c/array-fpi/indp1.c,c/array-fpi/indp1.yml,array-fpi,valid-memsafety_False_array-fpi
23,no-overflow,True,c/array-tiling/rewrev.c,/workspace/sv-benchmarks/c/array-tiling/rewrev.c,c/array-tiling/rewrev.yml,array-tiling,no-overflow_True_array-tiling
238,termination,True,c/loop-acceleration/simple_2-1.c,/workspace/sv-benchmarks/c/loop-acceleration/simple_2-1.c,c/loop-acceleration/simple_2-1.yml,loop-acceleration,termination_True_loop-acceleration
580,unreach-call,False,c/recursive-simple/id_i10_o10-1.c,/workspace/sv-benchmarks/c/recursive-simple/id_i10_o10-1.c,c/recursive-simple/id_i10_o10-1.yml,recursive-simple,unreach-call_False_recursive-simple
92,no-overflow,True,c/termination-restricted-15/b.11.c,/workspace/sv-benchmarks/c/termination-restricted-15/b.11.c,c/termination-restricted-15/b.11.yml,termination-restricted-15,no-overflow_True_termination-restricted-15
258,termination,True,c/termination-restricted-15/PastaB7.c,/workspace/sv-benchmarks/c/termination-restricted-15/PastaB7.c,c/termination-restricted-15/PastaB7.yml,termination-restricted-15,termination_True_termination-restricted-15
370,termination,False,c/loop-invariants/const.c,/workspace/sv-benchmarks/c/loop-invariants/const.c,c/loop-invariants/const.yml,loop-invariants,termination_False_loop-invariants
600,valid-memsafety,True,c/loops-crafted-1/net_reset.c,/workspace/sv-benchmarks/c/loops-crafted-1/net_reset.c,c/loops-crafted-1/net_reset.yml,loops-crafted-1,valid-memsafety_True_loops-crafted-1
188,no-overflow,False,c/termination-nla/ps4-both-nt.c,/workspace/sv-benchmarks/c/termination-nla/ps4-both-nt.c,c/termination-nla/ps4-both-nt.yml,termination-nla,no-overflow_False_termination-nla
394,termination,False,c/loops/nec11.c,/workspace/sv-benchmarks/c/loops/nec11.c,c/loops/nec11.yml,loops,termination_False_loops
135,no-overflow,False,c/termination-nla/prod4br-both-t.c,/workspace/sv-benchmarks/c/termination-nla/prod4br-both-t.c,c/termination-nla/prod4br-both-t.yml,termination-nla,no-overflow_False_termination-nla
27,no-overflow,True,c/termination-crafted-lit/HarrisLalNoriRajamani-SAS2010-Fig1.c,/workspace/sv-benchmarks/c/termination-crafted-lit/HarrisLalNoriRajamani-SAS2010-Fig1.c,c/termination-crafted-lit/HarrisLalNoriRajamani-SAS2010-Fig1.yml,termination-crafted-lit,no-overflow_True_termination-crafted-lit
597,valid-memsafety,True,c/termination-crafted/Gothenburg-1.c,/workspace/sv-benchmarks/c/termination-crafted/Gothenburg-1.c,c/termination-crafted/Gothenburg-1.yml,termination-crafted,valid-memsafety_True_termination-crafted
5,no-overflow,True,c/termination-crafted/aaron2-1.c,/workspace/sv-benchmarks/c/termination-crafted/aaron2-1.c,c/termination-crafted/aaron2-1.yml,termination-crafted,no-overflow_True_termination-crafted
467,unreach-call,True,c/array-fpi/ssina.c,/workspace/sv-benchmarks/c/array-fpi/ssina.c,c/array-fpi/ssina.yml,array-fpi,unreach-call_True_array-fpi
