Unnamed: 0,property,expected_verdict,c_file,c_file_abs,yml_path,folder,strat_key,s42_pass,s42_success_at,s42_tokens,s42_time_sec,s42_code,s42_iter_log,s123_pass,s123_success_at,s123_tokens,s123_time_sec,s123_code,s123_iter_log,s999_pass,s999_success_at,s999_tokens,s999_time_sec,s999_code,s999_iter_log,final_prediction,avg_tokens,total_process_time_sec
96,no-overflow,True,c/recursive-simple/afterrec-2.c,/workspace/sv-benchmarks/c/recursive-simple/afterrec-2.c,c/recursive-simple/afterrec-2.yml,recursive-simple,no-overflow_True_recursive-simple,True,2,1960,25.21,"import Mathlib

def f : Nat → Bool
| 0 => true
| 1 => true
| 2 => true
| n+3 => f (n+2)

theorem no_error_in_f : ∀ n : Nat, n < 3 → f n = true
| 0, h => rfl
| 1, h => rfl
| 2, h => rfl
| n+3, h => by contradiction

theorem main_correct : f 2 = true :=
no_error_in_f 2 (by norm_num)","[{""it"": 1, ""extracted"": true, ""pass"": false, ""complete"": false, ""n_errors"": 5, ""n_sorries"": 0, ""verify_time_sec"": 3.56}, {""it"": 2, ""extracted"": true, ""pass"": true, ""complete"": true, ""n_errors"": 0, ""n_sorries"": 0, ""verify_time_sec"": 3.65}]",True,3,5144,51.87,"import Mathlib

-- Define the function `f` as described in the C code.
def f : Nat → IO Unit
| n => if n < 3 then pure () else f (n - 1)

-- Define the main function which calls `f(2)`.
def main : List String → IO UInt32 := fun _ =>
  do
    f 2
    pure 0

-- Prove that `f` does not cause an overflow when called with `n = 2`.
theorem f_does_not_overflow :
  ∀ n : Nat, n ≤ 2 → f n = pure ()
| 0, h => by simp [f]
| 1, h => by simp [f]
| 2, h => by simp [f]

-- Since `main` calls `f(2)`, we can conclude that there is no overflow.
theorem main_does_not_overflow :
  ∀ args : List String, main args = pure 0 :=
by intro args; simp [main, f_does_not_overflow]

#eval main [] -- This should evaluate to `pure 0` without any errors.","[{""it"": 1, ""extracted"": true, ""pass"": false, ""complete"": false, ""n_errors"": 5, ""n_sorries"": 0, ""verify_time_sec"": 3.63}, {""it"": 2, ""extracted"": true, ""pass"": false, ""complete"": false, ""n_errors"": 3, ""n_sorries"": 0, ""verify_time_sec"": 3.89}, {""it"": 3, ""extracted"": true, ""pass"": true, ""complete"": true, ""n_errors"": 0, ""n_sorries"": 0, ""verify_time_sec"": 3.82}]",False,-1,11341,100.37,,"[{""it"": 1, ""extracted"": true, ""pass"": false, ""complete"": false, ""n_errors"": 4, ""n_sorries"": 0, ""verify_time_sec"": 3.82}, {""it"": 2, ""extracted"": true, ""pass"": false, ""complete"": false, ""n_errors"": 2, ""n_sorries"": 0, ""verify_time_sec"": 3.71}, {""it"": 3, ""extracted"": true, ""pass"": false, ""complete"": false, ""n_errors"": 2, ""n_sorries"": 0, ""verify_time_sec"": 3.76}, {""it"": 4, ""extracted"": true, ""pass"": false, ""complete"": false, ""n_errors"": 2, ""n_sorries"": 0, ""verify_time_sec"": 3.54}, {""it"": 5, ""extracted"": true, ""pass"": false, ""complete"": false, ""n_errors"": 2, ""n_sorries"": 0, ""verify_time_sec"": 3.72}]",1,6148.3,100.37
580,unreach-call,False,c/recursive-simple/id_i10_o10-1.c,/workspace/sv-benchmarks/c/recursive-simple/id_i10_o10-1.c,c/recursive-simple/id_i10_o10-1.yml,recursive-simple,unreach-call_False_recursive-simple,False,-1,11815,87.85,,"[{""it"": 1, ""extracted"": true, ""pass"": false, ""complete"": false, ""n_errors"": 9, ""n_sorries"": 0, ""verify_time_sec"": 3.54}, {""it"": 2, ""extracted"": true, ""pass"": false, ""complete"": false, ""n_errors"": 5, ""n_sorries"": 0, ""verify_time_sec"": 3.62}, {""it"": 3, ""extracted"": true, ""pass"": false, ""complete"": false, ""n_errors"": 6, ""n_sorries"": 0, ""verify_time_sec"": 3.62}, {""it"": 4, ""extracted"": true, ""pass"": false, ""complete"": false, ""n_errors"": 4, ""n_sorries"": 0, ""verify_time_sec"": 3.68}, {""it"": 5, ""extracted"": true, ""pass"": false, ""complete"": false, ""n_errors"": 4, ""n_sorries"": 0, ""verify_time_sec"": 3.53}]",False,-1,11098,84.33,,"[{""it"": 1, ""extracted"": true, ""pass"": false, ""complete"": false, ""n_errors"": 4, ""n_sorries"": 0, ""verify_time_sec"": 3.55}, {""it"": 2, ""extracted"": true, ""pass"": false, ""complete"": false, ""n_errors"": 4, ""n_sorries"": 0, ""verify_time_sec"": 3.51}, {""it"": 3, ""extracted"": true, ""pass"": false, ""complete"": false, ""n_errors"": 4, ""n_sorries"": 0, ""verify_time_sec"": 3.56}, {""it"": 4, ""extracted"": true, ""pass"": false, ""complete"": false, ""n_errors"": 4, ""n_sorries"": 0, ""verify_time_sec"": 3.55}, {""it"": 5, ""extracted"": true, ""pass"": false, ""complete"": false, ""n_errors"": 4, ""n_sorries"": 0, ""verify_time_sec"": 3.55}]",False,-1,15118,125.86,,"[{""it"": 1, ""extracted"": true, ""pass"": false, ""complete"": false, ""n_errors"": 7, ""n_sorries"": 0, ""verify_time_sec"": 1.12}, {""it"": 2, ""extracted"": true, ""pass"": false, ""complete"": false, ""n_errors"": 3, ""n_sorries"": 0, ""verify_time_sec"": 1.07}, {""it"": 3, ""extracted"": true, ""pass"": false, ""complete"": false, ""n_errors"": 3, ""n_sorries"": 0, ""verify_time_sec"": 1.17}, {""it"": 4, ""extracted"": true, ""pass"": false, ""complete"": false, ""n_errors"": 3, ""n_sorries"": 0, ""verify_time_sec"": 1.08}, {""it"": 5, ""extracted"": true, ""pass"": false, ""complete"": false, ""n_errors"": 3, ""n_sorries"": 0, ""verify_time_sec"": 1.13}]",0,12677.0,125.87
149,no-overflow,False,c/termination-numeric/Et1_true.c,/workspace/sv-benchmarks/c/termination-numeric/Et1_true.c,c/termination-numeric/Et1_true.yml,termination-numeric,no-overflow_False_termination-numeric,False,-1,19158,159.23,,"[{""it"": 1, ""extracted"": true, ""pass"": false, ""complete"": false, ""n_errors"": 5, ""n_sorries"": 2, ""verify_time_sec"": 1.15}, {""it"": 2, ""extracted"": true, ""pass"": false, ""complete"": false, ""n_errors"": 10, ""n_sorries"": 0, ""verify_time_sec"": 0.76}, {""it"": 3, ""extracted"": true, ""pass"": false, ""complete"": false, ""n_errors"": 10, ""n_sorries"": 0, ""verify_time_sec"": 0.74}, {""it"": 4, ""extracted"": true, ""pass"": false, ""complete"": false, ""n_errors"": 10, ""n_sorries"": 0, ""verify_time_sec"": 0.73}, {""it"": 5, ""extracted"": true, ""pass"": false, ""complete"": false, ""n_errors"": 10, ""n_sorries"": 0, ""verify_time_sec"": 0.73}]",False,-1,18602,117.03,,"[{""it"": 1, ""extracted"": true, ""pass"": false, ""complete"": false, ""n_errors"": 9, ""n_sorries"": 0, ""verify_time_sec"": 0.72}, {""it"": 2, ""extracted"": true, ""pass"": false, ""complete"": false, ""n_errors"": 9, ""n_sorries"": 0, ""verify_time_sec"": 0.75}, {""it"": 3, ""extracted"": true, ""pass"": false, ""complete"": false, ""n_errors"": 11, ""n_sorries"": 0, ""verify_time_sec"": 0.74}, {""it"": 4, ""extracted"": true, ""pass"": false, ""complete"": false, ""n_errors"": 11, ""n_sorries"": 0, ""verify_time_sec"": 0.74}, {""it"": 5, ""extracted"": true, ""pass"": false, ""complete"": false, ""n_errors"": 11, ""n_sorries"": 0, ""verify_time_sec"": 0.75}]",False,-1,18853,126.38,,"[{""it"": 1, ""extracted"": true, ""pass"": false, ""complete"": false, ""n_errors"": 9, ""n_sorries"": 0, ""verify_time_sec"": 1.53}, {""it"": 2, ""extracted"": true, ""pass"": false, ""complete"": false, ""n_errors"": 5, ""n_sorries"": 0, ""verify_time_sec"": 1.29}, {""it"": 3, ""extracted"": true, ""pass"": false, ""complete"": false, ""n_errors"": 6, ""n_sorries"": 0, ""verify_time_sec"": 1.55}, {""it"": 4, ""extracted"": true, ""pass"": false, ""complete"": false, ""n_errors"": 4, ""n_sorries"": 0, ""verify_time_sec"": 1.58}, {""it"": 5, ""extracted"": true, ""pass"": false, ""complete"": false, ""n_errors"": 5, ""n_sorries"": 0, ""verify_time_sec"": 1.56}]",0,18871.0,159.23
600,valid-memsafety,True,c/loops-crafted-1/net_reset.c,/workspace/sv-benchmarks/c/loops-crafted-1/net_reset.c,c/loops-crafted-1/net_reset.yml,loops-crafted-1,valid-memsafety_True_loops-crafted-1,False,-1,32213,220.71,,"[{""it"": 1, ""extracted"": false, ""pass"": false, ""complete"": false, ""n_errors"": 0, ""n_sorries"": 0, ""verify_time_sec"": 0.0}, {""it"": 2, ""extracted"": true, ""pass"": false, ""complete"": false, ""n_errors"": 12, ""n_sorries"": 0, ""verify_time_sec"": 3.97}, {""it"": 3, ""extracted"": true, ""pass"": false, ""complete"": false, ""n_errors"": 3, ""n_sorries"": 0, ""verify_time_sec"": 4.07}, {""it"": 4, ""extracted"": true, ""pass"": false, ""complete"": false, ""n_errors"": 2, ""n_sorries"": 0, ""verify_time_sec"": 3.98}, {""it"": 5, ""extracted"": true, ""pass"": false, ""complete"": false, ""n_errors"": 1, ""n_sorries"": 0, ""verify_time_sec"": 3.95}]",False,-1,31807,205.11,,"[{""it"": 1, ""extracted"": false, ""pass"": false, ""complete"": false, ""n_errors"": 0, ""n_sorries"": 0, ""verify_time_sec"": 0.0}, {""it"": 2, ""extracted"": true, ""pass"": false, ""complete"": false, ""n_errors"": 9, ""n_sorries"": 0, ""verify_time_sec"": 4.07}, {""it"": 3, ""extracted"": true, ""pass"": false, ""complete"": false, ""n_errors"": 5, ""n_sorries"": 0, ""verify_time_sec"": 3.93}, {""it"": 4, ""extracted"": true, ""pass"": false, ""complete"": false, ""n_errors"": 5, ""n_sorries"": 0, ""verify_time_sec"": 3.94}, {""it"": 5, ""extracted"": true, ""pass"": false, ""complete"": false, ""n_errors"": 5, ""n_sorries"": 0, ""verify_time_sec"": 3.92}]",False,-1,33562,199.36,,"[{""it"": 1, ""extracted"": true, ""pass"": false, ""complete"": false, ""n_errors"": 13, ""n_sorries"": 0, ""verify_time_sec"": 3.78}, {""it"": 2, ""extracted"": true, ""pass"": false, ""complete"": false, ""n_errors"": 12, ""n_sorries"": 0, ""verify_time_sec"": 3.73}, {""it"": 3, ""extracted"": true, ""pass"": false, ""complete"": false, ""n_errors"": 12, ""n_sorries"": 0, ""verify_time_sec"": 3.8}, {""it"": 4, ""extracted"": true, ""pass"": false, ""complete"": false, ""n_errors"": 12, ""n_sorries"": 0, ""verify_time_sec"": 3.74}, {""it"": 5, ""extracted"": true, ""pass"": false, ""complete"": false, ""n_errors"": 7, ""n_sorries"": 0, ""verify_time_sec"": 3.77}]",0,32527.3,220.71
334,termination,False,c/termination-nla/dijkstra2-both-nt.c,/workspace/sv-benchmarks/c/termination-nla/dijkstra2-both-nt.c,c/termination-nla/dijkstra2-both-nt.yml,termination-nla,termination_False_termination-nla,False,-1,26113,193.75,,"[{""it"": 1, ""extracted"": true, ""pass"": false, ""complete"": false, ""n_errors"": 3, ""n_sorries"": 0, ""verify_time_sec"": 3.62}, {""it"": 2, ""extracted"": true, ""pass"": false, ""complete"": false, ""n_errors"": 1, ""n_sorries"": 0, ""verify_time_sec"": 3.68}, {""it"": 3, ""extracted"": true, ""pass"": false, ""complete"": false, ""n_errors"": 1, ""n_sorries"": 0, ""verify_time_sec"": 3.51}, {""it"": 4, ""extracted"": true, ""pass"": false, ""complete"": false, ""n_errors"": 1, ""n_sorries"": 0, ""verify_time_sec"": 3.53}, {""it"": 5, ""extracted"": true, ""pass"": false, ""complete"": false, ""n_errors"": 1, ""n_sorries"": 0, ""verify_time_sec"": 3.5}]",False,-1,30493,296.28,,"[{""it"": 1, ""extracted"": false, ""pass"": false, ""complete"": false, ""n_errors"": 0, ""n_sorries"": 0, ""verify_time_sec"": 0.0}, {""it"": 2, ""extracted"": true, ""pass"": false, ""complete"": false, ""n_errors"": 12, ""n_sorries"": 0, ""verify_time_sec"": 0.79}, {""it"": 3, ""extracted"": true, ""pass"": false, ""complete"": false, ""n_errors"": 12, ""n_sorries"": 0, ""verify_time_sec"": 0.78}, {""it"": 4, ""extracted"": true, ""pass"": false, ""complete"": false, ""n_errors"": 12, ""n_sorries"": 0, ""verify_time_sec"": 0.77}, {""it"": 5, ""extracted"": true, ""pass"": false, ""complete"": false, ""n_errors"": 12, ""n_sorries"": 0, ""verify_time_sec"": 0.79}]",False,-1,24420,164.71,,"[{""it"": 1, ""extracted"": true, ""pass"": false, ""complete"": false, ""n_errors"": 5, ""n_sorries"": 0, ""verify_time_sec"": 3.56}, {""it"": 2, ""extracted"": true, ""pass"": false, ""complete"": false, ""n_errors"": 6, ""n_sorries"": 0, ""verify_time_sec"": 3.57}, {""it"": 3, ""extracted"": true, ""pass"": false, ""complete"": false, ""n_errors"": 7, ""n_sorries"": 0, ""verify_time_sec"": 4.47}, {""it"": 4, ""extracted"": true, ""pass"": false, ""complete"": false, ""n_errors"": 7, ""n_sorries"": 0, ""verify_time_sec"": 3.67}, {""it"": 5, ""extracted"": true, ""pass"": false, ""complete"": false, ""n_errors"": 7, ""n_sorries"": 0, ""verify_time_sec"": 3.64}]",0,27008.7,296.28
250,termination,True,c/termination-crafted/Thun-2.c,/workspace/sv-benchmarks/c/termination-crafted/Thun-2.c,c/termination-crafted/Thun-2.yml,termination-crafted,termination_True_termination-crafted,False,-1,25125,222.96,,"[{""it"": 1, ""extracted"": true, ""pass"": false, ""complete"": false, ""n_errors"": 6, ""n_sorries"": 0, ""verify_time_sec"": 3.65}, {""it"": 2, ""extracted"": true, ""pass"": false, ""complete"": false, ""n_errors"": 4, ""n_sorries"": 0, ""verify_time_sec"": 3.59}, {""it"": 3, ""extracted"": true, ""pass"": false, ""complete"": false, ""n_errors"": 4, ""n_sorries"": 0, ""verify_time_sec"": 3.61}, {""it"": 4, ""extracted"": true, ""pass"": false, ""complete"": false, ""n_errors"": 4, ""n_sorries"": 0, ""verify_time_sec"": 3.52}, {""it"": 5, ""extracted"": true, ""pass"": false, ""complete"": false, ""n_errors"": 4, ""n_sorries"": 0, ""verify_time_sec"": 3.6}]",False,-1,35445,355.08,,"[{""it"": 1, ""extracted"": true, ""pass"": false, ""complete"": false, ""n_errors"": 8, ""n_sorries"": 0, ""verify_time_sec"": 1.44}, {""it"": 2, ""extracted"": true, ""pass"": false, ""complete"": false, ""n_errors"": 8, ""n_sorries"": 0, ""verify_time_sec"": 1.43}, {""it"": 3, ""extracted"": true, ""pass"": false, ""complete"": false, ""n_errors"": 8, ""n_sorries"": 0, ""verify_time_sec"": 1.34}, {""it"": 4, ""extracted"": true, ""pass"": false, ""complete"": false, ""n_errors"": 8, ""n_sorries"": 0, ""verify_time_sec"": 1.41}, {""it"": 5, ""extracted"": true, ""pass"": false, ""complete"": false, ""n_errors"": 2, ""n_sorries"": 0, ""verify_time_sec"": 1.39}]",False,-1,24394,225.97,,"[{""it"": 1, ""extracted"": true, ""pass"": false, ""complete"": false, ""n_errors"": 4, ""n_sorries"": 0, ""verify_time_sec"": 3.59}, {""it"": 2, ""extracted"": true, ""pass"": false, ""complete"": false, ""n_errors"": 6, ""n_sorries"": 0, ""verify_time_sec"": 3.54}, {""it"": 3, ""extracted"": true, ""pass"": false, ""complete"": false, ""n_errors"": 4, ""n_sorries"": 0, ""verify_time_sec"": 3.65}, {""it"": 4, ""extracted"": true, ""pass"": false, ""complete"": false, ""n_errors"": 3, ""n_sorries"": 0, ""verify_time_sec"": 3.6}, {""it"": 5, ""extracted"": true, ""pass"": false, ""complete"": false, ""n_errors"": 3, ""n_sorries"": 0, ""verify_time_sec"": 3.53}]",0,28321.3,355.09
480,unreach-call,True,c/recursive-simple/id_b5_o10-2.c,/workspace/sv-benchmarks/c/recursive-simple/id_b5_o10-2.c,c/recursive-simple/id_b5_o10-2.yml,recursive-simple,unreach-call_True_recursive-simple,False,-1,28217,278.42,,"[{""it"": 1, ""extracted"": true, ""pass"": false, ""complete"": false, ""n_errors"": 3, ""n_sorries"": 0, ""verify_time_sec"": 3.54}, {""it"": 2, ""extracted"": true, ""pass"": false, ""complete"": false, ""n_errors"": 9, ""n_sorries"": 0, ""verify_time_sec"": 3.83}, {""it"": 3, ""extracted"": true, ""pass"": false, ""complete"": false, ""n_errors"": 10, ""n_sorries"": 0, ""verify_time_sec"": 3.8}, {""it"": 4, ""extracted"": true, ""pass"": false, ""complete"": false, ""n_errors"": 10, ""n_sorries"": 0, ""verify_time_sec"": 3.8}, {""it"": 5, ""extracted"": true, ""pass"": false, ""complete"": false, ""n_errors"": 10, ""n_sorries"": 0, ""verify_time_sec"": 3.8}]",False,-1,17135,180.65,,"[{""it"": 1, ""extracted"": true, ""pass"": false, ""complete"": false, ""n_errors"": 4, ""n_sorries"": 0, ""verify_time_sec"": 3.65}, {""it"": 2, ""extracted"": true, ""pass"": false, ""complete"": false, ""n_errors"": 2, ""n_sorries"": 0, ""verify_time_sec"": 3.68}, {""it"": 3, ""extracted"": true, ""pass"": false, ""complete"": false, ""n_errors"": 6, ""n_sorries"": 0, ""verify_time_sec"": 3.57}, {""it"": 4, ""extracted"": true, ""pass"": false, ""complete"": false, ""n_errors"": 6, ""n_sorries"": 0, ""verify_time_sec"": 3.61}, {""it"": 5, ""extracted"": true, ""pass"": false, ""complete"": false, ""n_errors"": 6, ""n_sorries"": 0, ""verify_time_sec"": 3.58}]",False,-1,16205,149.52,,"[{""it"": 1, ""extracted"": true, ""pass"": false, ""complete"": false, ""n_errors"": 8, ""n_sorries"": 0, ""verify_time_sec"": 1.15}, {""it"": 2, ""extracted"": true, ""pass"": false, ""complete"": false, ""n_errors"": 7, ""n_sorries"": 0, ""verify_time_sec"": 1.12}, {""it"": 3, ""extracted"": true, ""pass"": false, ""complete"": false, ""n_errors"": 6, ""n_sorries"": 0, ""verify_time_sec"": 1.13}, {""it"": 4, ""extracted"": true, ""pass"": false, ""complete"": false, ""n_errors"": 4, ""n_sorries"": 0, ""verify_time_sec"": 1.06}, {""it"": 5, ""extracted"": true, ""pass"": false, ""complete"": false, ""n_errors"": 4, ""n_sorries"": 0, ""verify_time_sec"": 1.13}]",0,20519.0,278.42
450,unreach-call,True,c/loop-acceleration/diamond_1-1.c,/workspace/sv-benchmarks/c/loop-acceleration/diamond_1-1.c,c/loop-acceleration/diamond_1-1.yml,loop-acceleration,unreach-call_True_loop-acceleration,False,-1,24892,255.96,,"[{""it"": 1, ""extracted"": true, ""pass"": false, ""complete"": false, ""n_errors"": 12, ""n_sorries"": 0, ""verify_time_sec"": 0.75}, {""it"": 2, ""extracted"": true, ""pass"": false, ""complete"": false, ""n_errors"": 12, ""n_sorries"": 0, ""verify_time_sec"": 0.78}, {""it"": 3, ""extracted"": true, ""pass"": false, ""complete"": false, ""n_errors"": 12, ""n_sorries"": 0, ""verify_time_sec"": 0.72}, {""it"": 4, ""extracted"": true, ""pass"": false, ""complete"": false, ""n_errors"": 11, ""n_sorries"": 0, ""verify_time_sec"": 0.78}, {""it"": 5, ""extracted"": true, ""pass"": false, ""complete"": false, ""n_errors"": 11, ""n_sorries"": 0, ""verify_time_sec"": 0.76}]",False,-1,44547,440.87,,"[{""it"": 1, ""extracted"": true, ""pass"": false, ""complete"": false, ""n_errors"": 8, ""n_sorries"": 0, ""verify_time_sec"": 3.58}, {""it"": 2, ""extracted"": true, ""pass"": false, ""complete"": false, ""n_errors"": 12, ""n_sorries"": 0, ""verify_time_sec"": 3.91}, {""it"": 3, ""extracted"": true, ""pass"": false, ""complete"": false, ""n_errors"": 12, ""n_sorries"": 0, ""verify_time_sec"": 3.89}, {""it"": 4, ""extracted"": true, ""pass"": false, ""complete"": false, ""n_errors"": 12, ""n_sorries"": 0, ""verify_time_sec"": 3.95}, {""it"": 5, ""extracted"": true, ""pass"": false, ""complete"": false, ""n_errors"": 12, ""n_sorries"": 0, ""verify_time_sec"": 3.82}]",False,-1,14270,154.41,,"[{""it"": 1, ""extracted"": true, ""pass"": false, ""complete"": false, ""n_errors"": 2, ""n_sorries"": 0, ""verify_time_sec"": 4.32}, {""it"": 2, ""extracted"": true, ""pass"": false, ""complete"": false, ""n_errors"": 2, ""n_sorries"": 0, ""verify_time_sec"": 4.24}, {""it"": 3, ""extracted"": true, ""pass"": false, ""complete"": false, ""n_errors"": 2, ""n_sorries"": 0, ""verify_time_sec"": 4.24}, {""it"": 4, ""extracted"": true, ""pass"": false, ""complete"": false, ""n_errors"": 2, ""n_sorries"": 0, ""verify_time_sec"": 4.28}, {""it"": 5, ""extracted"": true, ""pass"": false, ""complete"": false, ""n_errors"": 2, ""n_sorries"": 0, ""verify_time_sec"": 4.3}]",0,27903.0,440.87
3,def-behavior,False,c/termination-crafted/Arrays01-EquivalentConstantIndices-2.c,/workspace/sv-benchmarks/c/termination-crafted/Arrays01-EquivalentConstantIndices-2.c,c/termination-crafted/Arrays01-EquivalentConstantIndices-2.yml,termination-crafted,def-behavior_False_termination-crafted,False,-1,20929,190.09,,"[{""it"": 1, ""extracted"": true, ""pass"": false, ""complete"": false, ""n_errors"": 8, ""n_sorries"": 0, ""verify_time_sec"": 3.97}, {""it"": 2, ""extracted"": true, ""pass"": false, ""complete"": false, ""n_errors"": 13, ""n_sorries"": 0, ""verify_time_sec"": 0.7}, {""it"": 3, ""extracted"": true, ""pass"": false, ""complete"": false, ""n_errors"": 13, ""n_sorries"": 0, ""verify_time_sec"": 0.65}, {""it"": 4, ""extracted"": true, ""pass"": false, ""complete"": false, ""n_errors"": 13, ""n_sorries"": 0, ""verify_time_sec"": 0.66}, {""it"": 5, ""extracted"": true, ""pass"": false, ""complete"": false, ""n_errors"": 13, ""n_sorries"": 0, ""verify_time_sec"": 0.64}]",False,-1,19625,181.19,,"[{""it"": 1, ""extracted"": true, ""pass"": false, ""complete"": false, ""n_errors"": 10, ""n_sorries"": 0, ""verify_time_sec"": 0.67}, {""it"": 2, ""extracted"": true, ""pass"": false, ""complete"": false, ""n_errors"": 10, ""n_sorries"": 0, ""verify_time_sec"": 0.64}, {""it"": 3, ""extracted"": true, ""pass"": false, ""complete"": false, ""n_errors"": 10, ""n_sorries"": 0, ""verify_time_sec"": 0.67}, {""it"": 4, ""extracted"": true, ""pass"": false, ""complete"": false, ""n_errors"": 10, ""n_sorries"": 0, ""verify_time_sec"": 0.68}, {""it"": 5, ""extracted"": true, ""pass"": false, ""complete"": false, ""n_errors"": 10, ""n_sorries"": 0, ""verify_time_sec"": 0.7}]",False,-1,18069,156.33,,"[{""it"": 1, ""extracted"": true, ""pass"": false, ""complete"": false, ""n_errors"": 12, ""n_sorries"": 0, ""verify_time_sec"": 0.65}, {""it"": 2, ""extracted"": true, ""pass"": false, ""complete"": false, ""n_errors"": 12, ""n_sorries"": 0, ""verify_time_sec"": 0.65}, {""it"": 3, ""extracted"": true, ""pass"": false, ""complete"": false, ""n_errors"": 12, ""n_sorries"": 0, ""verify_time_sec"": 0.69}, {""it"": 4, ""extracted"": true, ""pass"": false, ""complete"": false, ""n_errors"": 12, ""n_sorries"": 0, ""verify_time_sec"": 0.68}, {""it"": 5, ""extracted"": true, ""pass"": false, ""complete"": false, ""n_errors"": 12, ""n_sorries"": 0, ""verify_time_sec"": 0.63}]",0,19541.0,190.09
639,valid-memsafety,True,c/loops/heavy-2.c,/workspace/sv-benchmarks/c/loops/heavy-2.c,c/loops/heavy-2.yml,loops,valid-memsafety_True_loops,False,-1,25791,288.74,,"[{""it"": 1, ""extracted"": true, ""pass"": false, ""complete"": false, ""n_errors"": 6, ""n_sorries"": 0, ""verify_time_sec"": 3.53}, {""it"": 2, ""extracted"": true, ""pass"": false, ""complete"": false, ""n_errors"": 6, ""n_sorries"": 0, ""verify_time_sec"": 3.58}, {""it"": 3, ""extracted"": true, ""pass"": false, ""complete"": false, ""n_errors"": 8, ""n_sorries"": 0, ""verify_time_sec"": 3.64}, {""it"": 4, ""extracted"": true, ""pass"": false, ""complete"": false, ""n_errors"": 6, ""n_sorries"": 0, ""verify_time_sec"": 3.51}, {""it"": 5, ""extracted"": true, ""pass"": false, ""complete"": false, ""n_errors"": 6, ""n_sorries"": 0, ""verify_time_sec"": 3.63}]",False,-1,23703,216.71,,"[{""it"": 1, ""extracted"": true, ""pass"": false, ""complete"": false, ""n_errors"": 19, ""n_sorries"": 0, ""verify_time_sec"": 0.7}, {""it"": 2, ""extracted"": true, ""pass"": false, ""complete"": false, ""n_errors"": 19, ""n_sorries"": 0, ""verify_time_sec"": 0.67}, {""it"": 3, ""extracted"": true, ""pass"": false, ""complete"": false, ""n_errors"": 19, ""n_sorries"": 0, ""verify_time_sec"": 0.69}, {""it"": 4, ""extracted"": true, ""pass"": false, ""complete"": false, ""n_errors"": 19, ""n_sorries"": 0, ""verify_time_sec"": 0.66}, {""it"": 5, ""extracted"": true, ""pass"": false, ""complete"": false, ""n_errors"": 19, ""n_sorries"": 0, ""verify_time_sec"": 0.61}]",False,-1,18238,215.08,,"[{""it"": 1, ""extracted"": true, ""pass"": false, ""complete"": false, ""n_errors"": 5, ""n_sorries"": 0, ""verify_time_sec"": 3.59}, {""it"": 2, ""extracted"": true, ""pass"": false, ""complete"": false, ""n_errors"": 6, ""n_sorries"": 0, ""verify_time_sec"": 3.61}, {""it"": 3, ""extracted"": true, ""pass"": false, ""complete"": false, ""n_errors"": 6, ""n_sorries"": 0, ""verify_time_sec"": 3.57}, {""it"": 4, ""extracted"": true, ""pass"": false, ""complete"": false, ""n_errors"": 6, ""n_sorries"": 0, ""verify_time_sec"": 3.66}, {""it"": 5, ""extracted"": true, ""pass"": false, ""complete"": false, ""n_errors"": 6, ""n_sorries"": 0, ""verify_time_sec"": 3.6}]",0,22577.3,288.74
